METADATA

SEPARATOR COMMA
FIELD_LABELS,Class,Order,Family,Subfamily,Genus,Species,Virus name(s)
NC_052933,Caudoviricetes,,Orlajensenviridae,Pelczarvirinae,Paopuvirus,Paopuvirus azizam,Microbacterium phage Azizam
NC_052934,Caudoviricetes,,Orlajensenviridae,Pelczarvirinae,Paopuvirus,Paopuvirus bri160,Microbacterium phage Bri160
NC_052935,Caudoviricetes,,Orlajensenviridae,Pelczarvirinae,Paopuvirus,Paopuvirus kaijohn,Microbacterium phage Kaijohn
NC_052936,Caudoviricetes,,Orlajensenviridae,Pelczarvirinae,Paopuvirus,Paopuvirus nobel,Microbacterium phage Nobel
NC_052937,Caudoviricetes,,Orlajensenviridae,Pelczarvirinae,Paopuvirus,Paopuvirus noelani,Microbacterium phage Noelani
NC_052932,Caudoviricetes,,Orlajensenviridae,Pelczarvirinae,Paopuvirus,Paopuvirus paopu,Microbacterium phage PaoPu
NC_052938,Caudoviricetes,,Orlajensenviridae,Pelczarvirinae,Paopuvirus,Paopuvirus poranda,Microbacterium phage PoRanda
NC_052939,Caudoviricetes,,Orlajensenviridae,Pelczarvirinae,Paopuvirus,Paopuvirus quaker,Microbacterium phage Quaker
NC_054431,Caudoviricetes,,Orlajensenviridae,Pelczarvirinae,Paopuvirus,Paopuvirus Scamander,Microbacterium phage Scamander
NC_021792,Caudoviricetes,,Pachyviridae,,Bacelvirus,Bacelvirus phi46tres,Cellulophaga phage phi46:3
NC_021803,Caudoviricetes,,Pachyviridae,,Baltivirus,Baltivirus phi13duo,Cellulophaga phage phi13:2
NC_021794,Caudoviricetes,,Pachyviridae,,Baltivirus,Baltivirus phi18tres,Cellulophaga phage phi18:3
NC_021789,Caudoviricetes,,Pachyviridae,,Baltivirus,Baltivirus phi19tres,Cellulophaga phage phi19:3
NC_047752,Caudoviricetes,,Peduoviridae,,Aptresvirus,Aptresvirus AP3,Burkholderia phage AP3
NC_055863,Caudoviricetes,,Peduoviridae,,Aptresvirus,Aptresvirus mana,Burkholderia phage Mana
NC_009382,Caudoviricetes,,Peduoviridae,,Aresaunavirus,Aresaunavirus RSA1,Ralstonia phage RSA1
NC_049432,Caudoviricetes,,Peduoviridae,,Aresaunavirus,Aresaunavirus RsoM1USA,Ralstonia phage RsoM1USA
NC_025115,Caudoviricetes,,Peduoviridae,,Arsyunavirus,Arsyunavirus RSY1,Ralstonia phage RSY1
NC_047750,Caudoviricetes,,Peduoviridae,,Baylorvirus,Baylorvirus bv1127AP1,Mannheimia phage vB_MhM_1127AP1
NC_008201,Caudoviricetes,,Peduoviridae,,Baylorvirus,Baylorvirus PHL101,Mannheimia phage PHL101
NC_009542,Caudoviricetes,,Peduoviridae,,Bielevirus,Bielevirus phiO18P,Aeromonas phage phiO18P
NC_055729,Caudoviricetes,,Peduoviridae,,Bracchivirus,Bracchivirus U2F1,Uncultured Caudovirales phage clone 2F_1
NC_048066,Caudoviricetes,,Peduoviridae,,Canoevirus,Canoevirus canoe,Vibrio phage 1.202.O._10N.222.45.E8
NC_047790,Caudoviricetes,,Peduoviridae,,Catalunyavirus,Catalunyavirus C5a,Pseudoalteromonas phage C5a
NC_055793,Caudoviricetes,,Peduoviridae,,Citexvirus,Citexvirus BR319A,Pseudomonas phage vB_Pae_BR319a
NC_048109,Caudoviricetes,,Peduoviridae,,Citexvirus,Citexvirus dobby,Pseudomonas phage Dobby
NC_003278,Caudoviricetes,,Peduoviridae,,Citexvirus,Citexvirus phiCTX,Pseudomonas phage phiCTX
NC_049453,Caudoviricetes,,Peduoviridae,,Dagavirus,Dagavirus ST13OXA48phi121,Klebsiella phage ST13-OXA48phi12.1
NC_009236,Caudoviricetes,,Peduoviridae,,Duodecimduovirus,Duodecimduovirus phiE122,Burkholderia phage phiE12-2
NC_070911,Caudoviricetes,,Peduoviridae,,Eganvirus,Eganvirus BIS20,Salmonella phage BIS20
NC_047833,Caudoviricetes,,Peduoviridae,,Eganvirus,Eganvirus EtG,Erwinia phage EtG
NC_001317,Caudoviricetes,,Peduoviridae,,Eganvirus,Eganvirus ev186,Escherichia phage 186
NC_005340,Caudoviricetes,,Peduoviridae,,Eganvirus,Eganvirus PsP3,Salmonella phage PsP3
NC_029003,Caudoviricetes,,Peduoviridae,,Eganvirus,Eganvirus SEN1,Salmonella phage SEN1
NC_049459,Caudoviricetes,,Peduoviridae,,Eganvirus,Eganvirus SW9,Salmonella phage SW9
NC_047818,Caudoviricetes,,Peduoviridae,,Elveevirus,Elveevirus 4LV2017,Klebsiella phage 4LV2017
NC_019932,Caudoviricetes,,Peduoviridae,,Entnonagintavirus,Entnonagintavirus ENT90,Erwinia phage ENT90
NC_049392,Caudoviricetes,,Peduoviridae,,Evevirus,Evevirus ev239,Escherichia phage ESSI2_ev239
NC_019488,Caudoviricetes,,Peduoviridae,,Felsduovirus,Felsduovirus RE2010,Salmonella phage RE2010
NC_047753,Caudoviricetes,,Peduoviridae,,Felsduovirus,Felsduovirus SEN8,Salmonella phage SEN8
NC_049454,Caudoviricetes,,Peduoviridae,,Gegavirus,Gegavirus ST15OXA48phi141,Klebsiella phage ST15-OXA48phi14.1
NC_049448,Caudoviricetes,,Peduoviridae,,Gegevirus,Gegevirus ST437OXA245phi41,Klebsiella phage ST437-OXA245phi4.1
NC_049343,Caudoviricetes,,Peduoviridae,,Gemsvirus,Gemsvirus gv5004652,Escherichia phage 500465-2
NC_001697,Caudoviricetes,,Peduoviridae,,Hpunavirus,Hpunavirus HP1,Haemophilus phage HP1
NC_003315,Caudoviricetes,,Peduoviridae,,Hpunavirus,Hpunavirus HP2,Haemophilus phage HP2
NC_049460,Caudoviricetes,,Peduoviridae,,Irrigatiovirus,Irrigatiovirus SI7,Salmonella phage SI7
NC_008193,Caudoviricetes,,Peduoviridae,,Irtavirus,Irtavirus F108,Pasteurella phage F108
NC_049452,Caudoviricetes,,Peduoviridae,,Kapieceevirus,Kapieceevirus ST512KPC3phi132,Klebsiella phage ST512-KPC3phi13.2
NC_015266,Caudoviricetes,,Peduoviridae,,Kayeltresvirus,Kayeltresvirus KL3,Burkholderia phage KL3
NC_055722,Caudoviricetes,,Peduoviridae,,Kisquattuordecimvirus,Kisquattuordecimvirus FLC5,Burkholderia phage FLC5 DNA
NC_015273,Caudoviricetes,,Peduoviridae,,Kisquattuordecimvirus,Kisquattuordecimvirus KS14,Burkholderia phage KS14
NC_015265,Caudoviricetes,,Peduoviridae,,Kisquinquevirus,Kisquinquevirus KS5,Burkholderia phage KS5
NC_003313,Caudoviricetes,,Peduoviridae,,Longwoodvirus,Longwoodvirus K139,Bacteriophage K139
NC_021343,Caudoviricetes,,Peduoviridae,,Nampongvirus,Nampongvirus ST79,Burkholderia phage ST79
NC_049429,Caudoviricetes,,Peduoviridae,,Novemvirus,Novemvirus T5282H,Enterobacter phage phiT5282H
NC_070905,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus DC1,Escherichia phage DC1
NC_022750,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus fiAA91ss,Enterobacteria phage fiAA91-ss
NC_021774,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus FSLSP004,Salmonella phage FSLSP004
NC_004745,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus L413C,Yersinia phage L-413C
NC_041848,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus magyaro,Escherichia phage P2
NC_001895,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus P2,Bacteriophage P2
NC_049386,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus P22H1,Escherichia phage P2_2H1
NC_049385,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus P22H4,Escherichia phage P2_2H4
NC_049390,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus P24A7b,Escherichia phage P2_4A7b
NC_049387,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus P24B2,Escherichia phage P2_4B2
NC_049388,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus P24C9,Escherichia phage P2_4C9
NC_049389,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus P24E6b,Escherichia phage P2_4E6b
NC_028896,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus pro147,Escherichia phage pro147
NC_028943,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus pro483,Escherichia phage pro483
NC_049457,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus pv12474III,Escherichia phage vB_EcoM-12474III
NC_049461,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus R18C,Bacteriophage R18C
NC_070904,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus SIAC10,Escherichia phage SIAC10
NC_070906,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus SIDE7,Escherichia phage SIDE7
NC_005056,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus Wphi,Escherichia phage Wphi
NC_055844,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus YPM22,Yersinia phage vB_YpM_22
NC_055845,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus YPM46,Yersinia phage vB_YpM_46
NC_055846,Caudoviricetes,,Peduoviridae,,Peduovirus,Peduovirus YPM50,Yersinia phage vB_YpM_50
NC_030940,Caudoviricetes,,Peduoviridae,,Phitrevirus,Phitrevirus phi3,Pseudomonas phage phi3
NC_047775,Caudoviricetes,,Peduoviridae,,Playavirus,Playavirus SMHB1,Salinivibrio phage SMHB1
NC_049395,Caudoviricetes,,Peduoviridae,,Quadragintavirus,Quadragintavirus ev015,Escherichia phage ESSI2_ev015
NC_049393,Caudoviricetes,,Peduoviridae,,Quadragintavirus,Quadragintavirus ev040,Escherichia phage ESSI2_ev040
NC_049394,Caudoviricetes,,Peduoviridae,,Quadragintavirus,Quadragintavirus ev129,Escherichia phage ESSI2_ev129
NC_047817,Caudoviricetes,,Peduoviridae,,Reginaelenavirus,Reginaelenavirus rv3LV2017,Klebsiella phage 3LV2017
NC_049450,Caudoviricetes,,Peduoviridae,,Reipivirus,Reipivirus ST16OXA48phi54,Klebsiella phage ST16-OXA48phi5.4
NC_029015,Caudoviricetes,,Peduoviridae,,Senquatrovirus,Senquatrovirus SEN4,Salmonella phage SEN4
NC_047854,Caudoviricetes,,Peduoviridae,,Seongnamvirus,Seongnamvirus ESSI2,Cronobacter phage ESSI-2
NC_023588,Caudoviricetes,,Peduoviridae,,Simpcentumvirus,Simpcentumvirus Smp131,Stenotrophomonas phage Smp131
NC_009234,Caudoviricetes,,Peduoviridae,,Tigrvirus,Tigrvirus E202,Burkholderia phage phiE202
NC_007145,Caudoviricetes,,Peduoviridae,,Tigrvirus,Tigrvirus phi52237,Burkholderia pseudomallei phage phi52237
NC_055911,Caudoviricetes,,Peduoviridae,,Tigrvirus,Tigrvirus phiE094,Burkholderia phage phiE094
NC_055862,Caudoviricetes,,Peduoviridae,,Valbvirus,Valbvirus ValB1MD2,Vibrio phage ValB1MD-2
NC_049451,Caudoviricetes,,Peduoviridae,,Vimunumvirus,Vimunumvirus ST147VIM1phi71,Klebsiella phage ST147-VIM1phi7.1
NC_027368,Caudoviricetes,,Peduoviridae,,Vulnificusvirus,Vulnificusvirus PV94,Vibrio phage PV94
NC_049342,Caudoviricetes,,Peduoviridae,,Wadgaonvirus,Wadgaonvirus wv5004651,Escherichia phage 500465-1
NC_026014,Caudoviricetes,,Peduoviridae,,Xuanwuvirus,Xuanwuvirus P88,Escherichia phage P88
NC_049391,Caudoviricetes,,Peduoviridae,,Xuanwuvirus,Xuanwuvirus P884B11,Escherichia phage P88_4B11
NC_049341,Caudoviricetes,,Peduoviridae,,Xuanwuvirus,Xuanwuvirus xv503458,Escherichia phage 503458
NC_049344,Caudoviricetes,,Peduoviridae,,Xuanwuvirus,Xuanwuvirus xv520873,Escherichia phage 520873
NC_049477,Caudoviricetes,,Peduoviridae,,Yongunavirus,Yongunavirus yong1,Vibrio phage vB_ValM-yong1
NC_021796,Caudoviricetes,,Pervagoviridae,,Callevirus,Callevirus phi38una,Cellulophaga phage phi38:1
NC_028676,Caudoviricetes,,Pootjesviridae,,Emnonavirus,Emnonavirus phiM9,Sinorhizobium phage phiM9
NC_055841,Caudoviricetes,,Pootjesviridae,,Heverleevirus,Heverleevirus OLIVR5,Agrobacterium phage OLIVR5
NC_025429,Caudoviricetes,,Pootjesviridae,,Innesvirus,Innesvirus P10VF,Rhizobium phage vB_RleM_P10VF
NC_070889,Caudoviricetes,,Pootjesviridae,,Innesvirus,Innesvirus RL2RES,Rhizobium phage RL2RES
NC_074642,Caudoviricetes,,Pungoviridae,,Flagovirus,Flagovirus limi,Methanoculleus virus Blf4
NC_047813,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Andhravirus,Andhravirus andhra,Staphylococcus phage Andhra
NC_070879,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Andhravirus,Andhravirus besep3,Staphylococcus phage BESEP3
NC_047814,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Andhravirus,Andhravirus St134,Staphylococcus phage St 134
NC_047919,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Rosenblumvirus,Rosenblumvirus AGO13,Staphylococcus phage vB_SauP_phiAGO1.3
NC_031046,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Rosenblumvirus,Rosenblumvirus BP39,Staphylococcus phage BP39
NC_048159,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Rosenblumvirus,Rosenblumvirus CSA13,Staphylococcus phage CSA13
NC_055906,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Rosenblumvirus,Rosenblumvirus EBHT,Staphylococcus phage Portland
NC_023550,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Rosenblumvirus,Rosenblumvirus GRCS,Staphylococcus phage GRCS
NC_055916,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Rosenblumvirus,Rosenblumvirus LSA2366,Staphylococcus phage LSA2366
NC_048107,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Rosenblumvirus,Rosenblumvirus pabna,Staphylococcus phage Pabna
NC_055814,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Rosenblumvirus,Rosenblumvirus portland,Staphylococcus phage Portland
NC_047855,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Rosenblumvirus,Rosenblumvirus PSa3,Staphylococcus phage PSa3
NC_007046,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Rosenblumvirus,Rosenblumvirus rv66,Bacteriophage 66
NC_004678,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Rosenblumvirus,Rosenblumvirus rv44AHJD,Staphylococcus phage phi44AHJD
NC_016565,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Rosenblumvirus,Rosenblumvirus S241,Staphylococcus phage S24-1 DNA
NC_055802,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Rosenblumvirus,Rosenblumvirus SA46CL1,Staphylococcus phage SA46-CL1
NC_009875,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Rosenblumvirus,Rosenblumvirus SAP2,Staphylococcus phage SAP-2
NC_047788,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Rosenblumvirus,Rosenblumvirus SCH1,Staphylococcus phage SCH1
NC_031008,Caudoviricetes,,Rountreeviridae,Rakietenvirinae,Rosenblumvirus,Rosenblumvirus SLPW,Staphylococcus phage SLPW
NC_055866,Caudoviricetes,,Rountreeviridae,Sarlesvirinae,Copernicusvirus,Copernicusvirus AE417,Enterococcus phage AE4_17
NC_049932,Caudoviricetes,,Rountreeviridae,Sarlesvirinae,Copernicusvirus,Copernicusvirus Ef62,Enterococcus phage vB_EfaP_Ef6.2
NC_049933,Caudoviricetes,,Rountreeviridae,Sarlesvirinae,Copernicusvirus,Copernicusvirus Ef63,Enterococcus phage vB_EfaP_Ef6.3
NC_049934,Caudoviricetes,,Rountreeviridae,Sarlesvirinae,Copernicusvirus,Copernicusvirus Ef72,Enterococcus phage vB_EfaP_Ef7.2
NC_049939,Caudoviricetes,,Rountreeviridae,Sarlesvirinae,Copernicusvirus,Copernicusvirus Ef73,Enterococcus phage vB_EfaP_Ef7.3
NC_049940,Caudoviricetes,,Rountreeviridae,Sarlesvirinae,Copernicusvirus,Copernicusvirus Ef74,Enterococcus phage vB_EfaP_Ef7.4
NC_025467,Caudoviricetes,,Rountreeviridae,Sarlesvirinae,Copernicusvirus,Copernicusvirus Efae230P4,Enterococcus phage vB_Efae230P-4
NC_049938,Caudoviricetes,,Rountreeviridae,Sarlesvirinae,Copernicusvirus,Copernicusvirus Efmus1,Enterococcus phage vB_EfaP_Efmus1
NC_049936,Caudoviricetes,,Rountreeviridae,Sarlesvirinae,Copernicusvirus,Copernicusvirus Efmus3,Enterococcus phage vB_EfaP_Efmus3
NC_049935,Caudoviricetes,,Rountreeviridae,Sarlesvirinae,Copernicusvirus,Copernicusvirus Efmus4,Enterococcus phage vB_EfaP_Efmus4
NC_049937,Caudoviricetes,,Rountreeviridae,Sarlesvirinae,Copernicusvirus,Copernicusvirus Idefix,Enterococcus phage Idefix
NC_028693,Caudoviricetes,,Rountreeviridae,Sarlesvirinae,Copernicusvirus,Copernicusvirus IME195,Enterococcus phage vB_EfaP_IME195
NC_049931,Caudoviricetes,,Rountreeviridae,Sarlesvirinae,Minhovirus,Minhovirus IME199,Enterococcus phage vB_EfaP_IME199
NC_049930,Caudoviricetes,,Rountreeviridae,Sarlesvirinae,Minhovirus,Minhovirus zip,Enterococcus phage vB_EfaP_Zip
NC_004814,Caudoviricetes,,Rountreeviridae,,Fischettivirus,Fischettivirus C1,Streptococcus phage C1
NC_024149,Caudoviricetes,,Rountreeviridae,,Negarvirus,Negarvirus WP2,Lactococcus phage WP-2
NC_024358,Caudoviricetes,,Saffermanviridae,,Kozyakovvirus,Kozyakovvirus A4L,Anabaena phage A-4L
NC_008367,Caudoviricetes,,Saffermanviridae,,Wumpquatrovirus,Wumpquatrovirus WMP4,Phormidium phage Pf-WMP4
NC_022751,Caudoviricetes,,Saffermanviridae,,Wumptrevirus,Wumptrevirus PP,Cyanophage PP
NC_009551,Caudoviricetes,,Saffermanviridae,,Wumptrevirus,Wumptrevirus WMP3,Phormidium phage Pf-WMP3
NC_055905,Caudoviricetes,,Salasmaviridae,Northropvirinae,Claudivirus,Claudivirus baseballfield,Bacillus phage Baseball_field
NC_049966,Caudoviricetes,,Salasmaviridae,Northropvirinae,Claudivirus,Claudivirus Goe4,Bacillus phage vB_BthP-Goe4
NC_049963,Caudoviricetes,,Salasmaviridae,Northropvirinae,Claudivirus,Claudivirus juan,Bacillus phage Juan
NC_049964,Caudoviricetes,,Salasmaviridae,Northropvirinae,Claudivirus,Claudivirus konjotrouble,Bacillus phage KonjoTrouble
NC_049959,Caudoviricetes,,Salasmaviridae,Northropvirinae,Claudivirus,Claudivirus QCM11,Bacillus phage QCM11
NC_049962,Caudoviricetes,,Salasmaviridae,Northropvirinae,Claudivirus,Claudivirus serpounce,Bacillus phage SerPounce
NC_031032,Caudoviricetes,,Salasmaviridae,Northropvirinae,Claudivirus,Claudivirus stitch,Bacillus phage Stitch
NC_055914,Caudoviricetes,,Salasmaviridae,Northropvirinae,Claudivirus,Claudivirus thornton,Bacillus phage Thornton
NC_049967,Caudoviricetes,,Salasmaviridae,Northropvirinae,Hemphillvirus,Hemphillvirus DK1,Bacillus phage DK1
NC_049968,Caudoviricetes,,Salasmaviridae,Northropvirinae,Hemphillvirus,Hemphillvirus DK2,Bacillus phage DK2
NC_049969,Caudoviricetes,,Salasmaviridae,Northropvirinae,Hemphillvirus,Hemphillvirus DK3,Bacillus phage DK3
NC_021336,Caudoviricetes,,Salasmaviridae,Northropvirinae,Klosterneuburgvirus,Klosterneuburgvirus MGB1,Bacillus phage MG-B1
NC_004165,Caudoviricetes,,Salasmaviridae,Picovirinae,Beecentumtrevirus,Beecentumtrevirus B103,Bacillus phage B103
NC_049975,Caudoviricetes,,Salasmaviridae,Picovirinae,Beecentumtrevirus,Beecentumtrevirus Goe1,Bacillus phage vB_BsuP-Goe1
NC_049976,Caudoviricetes,,Salasmaviridae,Picovirinae,Beecentumtrevirus,Beecentumtrevirus Nf,Bacillus phage Nf
NC_049965,Caudoviricetes,,Salasmaviridae,Picovirinae,Salasvirus,Salasvirus Goe6,Bacillus phage vB_BveP-Goe6
NC_049974,Caudoviricetes,,Salasmaviridae,Picovirinae,Salasvirus,Salasvirus Gxv1,Bacillus phage Gxv1
NC_011048,Caudoviricetes,,Salasmaviridae,Picovirinae,Salasvirus,Salasvirus phi29,Bacillus phage phi29
NC_001423,Caudoviricetes,,Salasmaviridae,Picovirinae,Salasvirus,Salasvirus PZA,Bacillus phage PZA
NC_002649,Caudoviricetes,,Salasmaviridae,Tatarstanvirinae,Gaunavirus,Gaunavirus GA1,Bacillus phage GA1
NC_049973,Caudoviricetes,,Salasmaviridae,Tatarstanvirinae,Gaunavirus,Gaunavirus SRT01hs,Bacillus phage SRT01hs
NC_049970,Caudoviricetes,,Salasmaviridae,Tatarstanvirinae,Karezivirus,Karezivirus karezi,Bacillus phage Karezi
NC_049971,Caudoviricetes,,Salasmaviridae,,Bundooravirus,Bundooravirus PumA1,Bacillus phage vB_Bpu_PumA1
NC_049972,Caudoviricetes,,Salasmaviridae,,Bundooravirus,Bundooravirus PumA2,Bacillus phage vB_Bpu_PumA2
NC_049961,Caudoviricetes,,Salasmaviridae,,Harambevirus,Harambevirus beachbum,Bacillus phage BeachBum
NC_049960,Caudoviricetes,,Salasmaviridae,,Harambevirus,Harambevirus harambe,Bacillus phage Harambe
NC_055908,Caudoviricetes,,Salasmaviridae,,Huangshavirus,Huangshavirus dlcuna,Bacillus phage Dlc1
NC_028789,Caudoviricetes,,Salasmaviridae,,Mingyongvirus,Mingyongvirus VMY22,Bacillus phage VMY22
NC_021340,Caudoviricetes,,Saparoviridae,,Halohivirus,Halohivirus suolae,Haloarcula hispanica tailed virus 2
NC_021319,Caudoviricetes,,Saparoviridae,,Samsavirus,Samsavirus crystalli,Haloarcula californiae tailed virus 2
NC_008720,Caudoviricetes,,Schitoviridae,Enquatrovirinae,Enquatrovirus,Enquatrovirus N4,Escherichia phage N4
NC_024786,Caudoviricetes,,Schitoviridae,Enquatrovirinae,Gamaleyavirus,Gamaleyavirus APEC5,Escherichia phage vB_EcoP_PhAPEC5
NC_024790,Caudoviricetes,,Schitoviridae,Enquatrovirinae,Gamaleyavirus,Gamaleyavirus APEC7,Escherichia phage vB_EcoP_PhAPEC7
NC_024142,Caudoviricetes,,Schitoviridae,Enquatrovirinae,Gamaleyavirus,Gamaleyavirus Bp4,Escherichia phage Bp4
NC_041906,Caudoviricetes,,Schitoviridae,Enquatrovirinae,Gamaleyavirus,Gamaleyavirus EC1UPM,Escherichia phage EC1-UPM
NC_018854,Caudoviricetes,,Schitoviridae,Enquatrovirinae,Gamaleyavirus,Gamaleyavirus ECBP1,Escherichia phage ECBP1
NC_015933,Caudoviricetes,,Schitoviridae,Enquatrovirinae,Gamaleyavirus,Gamaleyavirus G7C,Escherichia phage vB_EcoP_G7C
NC_019423,Caudoviricetes,,Schitoviridae,Enquatrovirinae,Gamaleyavirus,Gamaleyavirus IME11,Escherichia phage IME11
NC_070871,Caudoviricetes,,Schitoviridae,Enquatrovirinae,Gamaleyavirus,Gamaleyavirus Pgn8291,Escherichia phage PGN829.1
NC_023589,Caudoviricetes,,Schitoviridae,Enquatrovirinae,Gamaleyavirus,Gamaleyavirus Sb1,Shigella phage pSb-1
NC_048700,Caudoviricetes,,Schitoviridae,Enquatrovirinae,Kaypoctavirus,Kaypoctavirus KP8,Klebsiella phage KP8
NC_070850,Caudoviricetes,,Schitoviridae,Enquatrovirinae,Moovirus,Moovirus moo,Shigella virus Moo19
NC_023579,Caudoviricetes,,Schitoviridae,Erskinevirinae,Johnsonvirus,Johnsonvirus Ea92,Erwinia phage Ea9-2
NC_031062,Caudoviricetes,,Schitoviridae,Erskinevirinae,Johnsonvirus,Johnsonvirus frozen,Erwinia phage vB_EamP_Frozen
NC_049510,Caudoviricetes,,Schitoviridae,Erskinevirinae,Yonginvirus,Yonginvirus EaP8,Erwinia phage phiEaP8
NC_020849,Caudoviricetes,,Schitoviridae,Fuhrmanvirinae,Matsuvirus,Matsuvirus pYD6A,Pseudoalteromonas phage pYD6-A
NC_020848,Caudoviricetes,,Schitoviridae,Fuhrmanvirinae,Stoningtonvirus,Stoningtonvirus VBP47,Vibrio phage VBP47
NC_021772,Caudoviricetes,,Schitoviridae,Humphriesvirinae,Ithacavirus,Ithacavirus SP058,Salmonella phage FSL SP-058
NC_021782,Caudoviricetes,,Schitoviridae,Humphriesvirinae,Ithacavirus,Ithacavirus SP076,Salmonella phage FSL SP-076
NC_027381,Caudoviricetes,,Schitoviridae,Humphriesvirinae,Pollockvirus,Pollockvirus pollock,Escherichia phage Pollock
NC_049467,Caudoviricetes,,Schitoviridae,Humphriesvirinae,Pylasvirus,Pylasvirus KpCHEMY26,Klebsiella phage KpCHEMY26
NC_049444,Caudoviricetes,,Schitoviridae,Humphriesvirinae,Pylasvirus,Pylasvirus pylas,Klebsiella phage Pylas
NC_024140,Caudoviricetes,,Schitoviridae,Migulavirinae,Litunavirus,Litunavirus Ab09,Pseudomonas phage vB_PaeP_C2-10_Ab09
NC_013692,Caudoviricetes,,Schitoviridae,Migulavirinae,Litunavirus,Litunavirus LIT1,Pseudomonas phage LIT1
NC_031104,Caudoviricetes,,Schitoviridae,Migulavirinae,Litunavirus,Litunavirus Mag4,Pseudomonas phage vB_PaeP_MAG4
NC_041907,Caudoviricetes,,Schitoviridae,Migulavirinae,Litunavirus,Litunavirus PA26,Pseudomonas phage PA26
NC_027388,Caudoviricetes,,Schitoviridae,Migulavirinae,Litunavirus,Litunavirus Yh6,Pseudomonas phage YH6
NC_029017,Caudoviricetes,,Schitoviridae,Migulavirinae,Luzseptimavirus,Luzseptimavirus KPP21,Pseudomonas phage KPP21
NC_013691,Caudoviricetes,,Schitoviridae,Migulavirinae,Luzseptimavirus,Luzseptimavirus LUZ7,Pseudomonas phage LUZ7
NC_049431,Caudoviricetes,,Schitoviridae,Pontosvirinae,Dorisvirus,Dorisvirus 49B3,Vibrio phage 1.097.O._10N.286.49.B3
NC_049379,Caudoviricetes,,Schitoviridae,Pontosvirinae,Galateavirus,Galateavirus PVA5,Vibrio phage vB_VspP_pVa5
NC_049430,Caudoviricetes,,Schitoviridae,Pontosvirinae,Nahantvirus,Nahantvirus 49C7,Vibrio phage 1.026.O._10N.222.49.C7
NC_049372,Caudoviricetes,,Schitoviridae,Rhodovirinae,Aoqinvirus,Aoqinvirus RD1410W101,Roseobacter phage RD-1410W1-01
NC_012696,Caudoviricetes,,Schitoviridae,Rhodovirinae,Aorunvirus,Aorunvirus EE36phi1,Sulfitobacter phage EE36phi1
NC_049435,Caudoviricetes,,Schitoviridae,Rhodovirinae,Aorunvirus,Aorunvirus V12,Ruegeria phage vB_RpoP-V12
NC_024367,Caudoviricetes,,Schitoviridae,Rhodovirinae,Baltimorevirus,Baltimorevirus DFL12,Dinoroseobacter phage DFL12phi1
NC_049345,Caudoviricetes,,Schitoviridae,Rhodovirinae,Plymouthvirus,Plymouthvirus RPP1,Roseovarius phage vB_RsvN_RPP1; Roseovarius Plymouth Podophage 1
NC_049436,Caudoviricetes,,Schitoviridae,Rhodovirinae,Pomeroyivirus,Pomeroyivirus V13,Ruegeria phage vB_RpoP-V13
NC_020862,Caudoviricetes,,Schitoviridae,Rhodovirinae,Raunefjordenvirus,Raunefjordenvirus CB2047B,Sulfitobacter phage phiCB2047-B
