LABELS
SEPARATOR COMMA

DATA
NC_021317,NC_021317_Jerseyvirus L13
NC_049496,NC_049496_Kuttervirus SeG
NC_049497,NC_049497_Kuttervirus SeJ
NC_049440,NC_049440_Kuttervirus SenALZ1
NC_049439,NC_049439_Kuttervirus SenASZ3
NC_049443,NC_049443_Kuttervirus SeSz1
NC_016073,NC_016073_Kuttervirus SFP10
NC_019530,NC_019530_Kuttervirus SH19
NC_023856,NC_023856_Kuttervirus SJ2
NC_024122,NC_024122_Kuttervirus SJ3
NC_049396,NC_049396_Kuttervirus SP1
NC_049458,NC_049458_Kuttervirus SS9
NC_042061,NC_042061_Kuttervirus STML131
NC_049378,NC_049378_Kuttervirus STW77
NC_015296,NC_015296_Kuttervirus ViI
NC_048709,NC_048709_Campanilevirus YC
NC_048827,NC_048827_Kujavirus kuja
NC_048736,NC_048736_Miltonvirus 3M
NC_020083,NC_020083_Miltonvirus MAM1
NC_048702,NC_048702_Nezavisimistyvirus bue1
NC_027340,NC_027340_Nezavisimistyvirus Ea2809
NC_022343,NC_022343_Taipeivirus 0507KN21
NC_042047,NC_042047_Taipeivirus IME250
NC_047932,NC_047932_Taipeivirus KpS110
NC_048186,NC_048186_Taipeivirus KWBSE436
NC_049462,NC_049462_Taipeivirus magnus
NC_047900,NC_047900_Taipeivirus may
NC_047901,NC_047901_Taipeivirus menlow
NC_049472,NC_049472_Taipeivirus UPM2146
NC_048660,NC_048660_Tedavirus A829
NC_048765,NC_048765_Vapseptimavirus VAP7
NC_023503,NC_023503_Brussowvirus 20617
NC_013598,NC_013598_Brussowvirus ALQ132
NC_010353,NC_010353_Brussowvirus bv858
NC_007019,NC_007019_Brussowvirus bv2972
NC_004303,NC_004303_Brussowvirus bvO1205
NC_002214,NC_002214_Brussowvirus Sfi11
NC_022776,NC_022776_Brussowvirus TP778L
NC_020197,NC_020197_Brussowvirus TPJ34
NC_013645,NC_013645_Moineauvirus Abc2
NC_002072,NC_002072_Moineauvirus DT1
NC_002185,NC_002185_Moineauvirus mv7201
NC_000871,NC_000871_Moineauvirus Sfi19
NC_000872,NC_000872_Moineauvirus Sfi21
NC_012753,NC_012753_Vansinderenvirus 5093
NC_071039,NC_071039_Wroclawvirus PA5oct
NC_021802,NC_021802_Cebadecemvirus phi10una
NC_021799,NC_021799_Cellubavirus phi19una
NC_025457,NC_025457_Daemvirus acibel007
NC_028675,NC_028675_Friunavirus AB1
NC_021337,NC_021337_Friunavirus AB3
NC_031086,NC_031086_Friunavirus AB6
NC_048142,NC_048142_Friunavirus AbKT21III
NC_021316,NC_021316_Friunavirus Abp1
NC_048076,NC_048076_Friunavirus Aci07
NC_048081,NC_048081_Friunavirus Aci08
NC_041915,NC_041915_Friunavirus AS11
NC_041914,NC_041914_Friunavirus AS12
NC_042003,NC_042003_Friunavirus B1
NC_042004,NC_042004_Friunavirus B3
NC_042005,NC_042005_Friunavirus B5
NC_042124,NC_042124_Friunavirus D2
NC_028848,NC_028848_Friunavirus Fri1
NC_041905,NC_041905_Friunavirus fv15519
NC_028987,NC_028987_Friunavirus IME200
NC_042006,NC_042006_Friunavirus P1
NC_042007,NC_042007_Friunavirus P2
NC_028684,NC_028684_Friunavirus PD6A3
NC_028679,NC_028679_Friunavirus PDAB9
NC_047896,NC_047896_Friunavirus SWHAb1
NC_047883,NC_047883_Friunavirus SWHAb3
NC_041967,NC_041967_Friunavirus WCHABP5
NC_023570,NC_023570_Pettyvirus petty
NC_047746,NC_047746_Gutovirus Vc1
NC_025822,NC_025822_Kaohsiungvirus A318
NC_047737,NC_047737_Kaohsiungvirus AS51
NC_047803,NC_047803_Kaohsiungvirus Vp670
NC_047836,NC_047836_Murciavirus CB5A
NC_047821,NC_047821_Murciavirus CPP1m
NC_047903,NC_047903_Trungvirus VEN
NC_047956,NC_047956_Uliginvirus achelous
NC_047957,NC_047957_Uliginvirus alpheus
NC_047955,NC_047955_Uliginvirus nerthus
NC_047954,NC_047954_Uliginvirus njord
NC_047894,NC_047894_Uliginvirus uligo
NC_030923,NC_030923_Kantovirus C171
NC_031068,NC_031068_Kotilavirus PP16
NC_047758,NC_047758_Kotilavirus PPWS1
NC_048103,NC_048103_Kotilavirus PPWS2
NC_042131,NC_042131_Phimunavirus CB5
NC_048116,NC_048116_Phimunavirus Clickz
NC_041854,NC_041854_Phimunavirus fM1
NC_048056,NC_048056_Phimunavirus gaspode
NC_048117,NC_048117_Phimunavirus khlen
NC_048118,NC_048118_Phimunavirus koot
NC_048058,NC_048058_Phimunavirus lelidair
NC_048061,NC_048061_Phimunavirus nobby
NC_029081,NC_029081_Phimunavirus peat1
NC_048119,NC_048119_Phimunavirus phoria
NC_031096,NC_031096_Phimunavirus PP90
NC_048120,NC_048120_Phimunavirus zenivior
NC_047759,NC_047759_Stompvirus BF2512
NC_047933,NC_047933_Kirikabuvirus NV3
NC_047967,NC_047967_Phikmvvirus 15pyo
NC_026602,NC_026602_Phikmvvirus Ab05
NC_027375,NC_027375_Phikmvvirus ABTNL
NC_028836,NC_028836_Phikmvvirus DL62
NC_012418,NC_012418_Phikmvvirus kF77
NC_009935,NC_009935_Phikmvvirus LKD16
NC_010326,NC_010326_Phikmvvirus LUZ19
NC_022746,NC_022746_Phikmvvirus MPK6
NC_022091,NC_022091_Phikmvvirus MPK7
NC_047852,NC_047852_Phikmvvirus NFS
NC_047952,NC_047952_Phikmvvirus PAXYB1
NC_005045,NC_005045_Phikmvvirus phiKMV
NC_011107,NC_011107_Phikmvvirus PT2
NC_011105,NC_011105_Phikmvvirus PT5
NC_047953,NC_047953_Phikmvvirus pv130113
NC_048168,NC_048168_Phikmvvirus RLP
NC_009936,NC_009936_Stubburvirus LKA1
NC_013638,NC_013638_Tunggulvirus f2
NC_019528,NC_019528_Aerosvirus AS7
NC_047966,NC_047966_Aerosvirus av25AhydR2PP
NC_048133,NC_048133_Aerosvirus ZPAH7
NC_028850,NC_028850_Aghbyvirus ISAO8
NC_047866,NC_047866_Ahphunavirus Ahp1
NC_047865,NC_047865_Ahphunavirus CF7
NC_029070,NC_029070_Cronosvirus DevCD23823
NC_020078,NC_020078_Cronosvirus GAP227
NC_047941,NC_047941_Panjvirus Spp16
NC_047951,NC_047951_Pienvirus R801
NC_047805,NC_047805_Pokrovskaiavirus fHeYen301
NC_019911,NC_019911_Pokrovskaiavirus pv8018
NC_048111,NC_048111_Wanjuvirus arno160
NC_047778,NC_047778_Wanjuvirus PP2
NC_027379,NC_027379_Acadevirus PM85
NC_027390,NC_027390_Acadevirus PM93
NC_047858,NC_047858_Acadevirus PM116
NC_028916,NC_028916_Acadevirus Pm5460
NC_019542,NC_019542_Axomammavirus PP1
NC_009014,NC_009014_Eracentumvirus era103
NC_047917,NC_047917_Eracentumvirus S2
NC_025450,NC_025450_Tuodvirus phD2B
NC_047769,NC_047769_Vectrevirus AAPEc6
NC_019403,NC_019403_Vectrevirus ACGC91
NC_047806,NC_047806_Vectrevirus bee
NC_047807,NC_047807_Vectrevirus cee
NC_047920,NC_047920_Vectrevirus CrRp3
NC_008152,NC_008152_Vectrevirus K15
NC_007637,NC_007637_Vectrevirus K1E
NC_047809,NC_047809_Vectrevirus kay
NC_048064,NC_048064_Vectrevirus LL11
NC_047889,NC_047889_Vectrevirus mutPK1A2
NC_047899,NC_047899_Vectrevirus VEc3
NC_031271,NC_031271_Zindervirus BP12B
NC_004831,NC_004831_Zindervirus SP6
NC_020414,NC_020414_Zindervirus UAB78
NC_047743,NC_047743_Ampunavirus BpAMP1
NC_047816,NC_047816_Ampunavirus RSPI1
NC_011201,NC_011201_Higashivirus RSB1
NC_047930,NC_047930_Higashivirus RsoP1IDN
NC_022916,NC_022916_Mguuvirus JG068
NC_028988,NC_028988_Risjevirus RSJ2
NC_029007,NC_029007_Risjevirus RSJ5
NC_047804,NC_047804_Sukuvirus RSPII1
NC_048174,NC_048174_Bucovirus buco
NC_047849,NC_047849_Drulisvirus altogao
NC_047748,NC_047748_Drulisvirus BO1E
NC_023567,NC_023567_Drulisvirus F19
NC_025418,NC_025418_Drulisvirus K244
NC_028664,NC_028664_Drulisvirus Kp2
NC_013649,NC_013649_Drulisvirus KP34
NC_047779,NC_047779_Drulisvirus KPRio2015
NC_047857,NC_047857_Drulisvirus KpS2
NC_028670,NC_028670_Drulisvirus KpV41
NC_047783,NC_047783_Drulisvirus KpV48
NC_031246,NC_031246_Drulisvirus KpV71
NC_047811,NC_047811_Drulisvirus KpV74
NC_031025,NC_031025_Drulisvirus KpV475
NC_047787,NC_047787_Drulisvirus KPV811
NC_048172,NC_048172_Drulisvirus minorna
NC_047944,NC_047944_Drulisvirus myPSH1235
NC_047929,NC_047929_Drulisvirus SFN6B
NC_028816,NC_028816_Drulisvirus SU503
NC_028870,NC_028870_Drulisvirus SU552A
NC_027980,NC_027980_Koutsourovirus KDA1
NC_027342,NC_027342_Novosibovirus PM16
NC_027363,NC_027363_Novosibovirus PM75
NC_047961,NC_047961_Aarhusvirus dagda
NC_048057,NC_048057_Aarhusvirus katbat
NC_048059,NC_048059_Aarhusvirus luksen
NC_048060,NC_048060_Aarhusvirus mysterion
NC_028655,NC_028655_Apdecimavirus AP10
NC_015249,NC_015249_Berlinvirus 285P
NC_048180,NC_048180_Berlinvirus A7
NC_011040,NC_011040_Berlinvirus BA14
NC_008694,NC_008694_Berlinvirus berlin
NC_031258,NC_031258_Berlinvirus BP12A
NC_048105,NC_048105_Berlinvirus BSP161
NC_022744,NC_022744_Berlinvirus FE44
NC_011534,NC_011534_Berlinvirus Kvp1
NC_028822,NC_028822_Berlinvirus P483
NC_028863,NC_028863_Berlinvirus P694
NC_047789,NC_047789_Berlinvirus PP74
NC_048108,NC_048108_Berlinvirus PYPS50
NC_047984,NC_047984_Berlinvirus S523
NC_011038,NC_011038_Berlinvirus Yepe2
NC_023715,NC_023715_Berlinvirus Yepf
NC_023548,NC_023548_Caroctavirus CR8
NC_015159,NC_015159_Chatterjeevirus ICP3
NC_013651,NC_013651_Chatterjeevirus N4
NC_007149,NC_007149_Chatterjeevirus VP4
NC_028772,NC_028772_Eapunavirus Eap1
NC_019510,NC_019510_Elunavirus L1
NC_048002,NC_048002_Foetvirus SRT7
NC_048201,NC_048201_Ghunavirus 17A
NC_004665,NC_004665_Ghunavirus gh1
NC_047922,NC_047922_Ghunavirus henninger
NC_047827,NC_047827_Ghunavirus KNP
NC_047874,NC_047874_Ghunavirus Pf1ERZ2017
NC_028661,NC_028661_Ghunavirus PPPL1
NC_024362,NC_024362_Ghunavirus PSA2
NC_047747,NC_047747_Ghunavirus Psa17
NC_048200,NC_048200_Ghunavirus shl2
NC_047826,NC_047826_Ghunavirus WRT
NC_047934,NC_047934_Helsettvirus fPS9
NC_047936,NC_047936_Helsettvirus fPS53
NC_047935,NC_047935_Helsettvirus fPS59
NC_047937,NC_047937_Helsettvirus fPS54ocr
NC_047963,NC_047963_Jarilovirus jarilo
NC_023576,NC_023576_Kayfunavirus CR44b
NC_023558,NC_023558_Kayfunavirus Dev2
NC_011042,NC_011042_Kayfunavirus EcoDS1
NC_048135,NC_048135_Kayfunavirus EcpYZU01
NC_047808,NC_047808_Kayfunavirus F
NC_031943,NC_031943_Kayfunavirus GA2A
NC_048161,NC_048161_Kayfunavirus GW1
NC_048071,NC_048071_Kayfunavirus IMM002
NC_007636,NC_007636_Kayfunavirus K1F
NC_031937,NC_031937_Kayfunavirus LM33P1
NC_024379,NC_024379_Kayfunavirus PE31
NC_048136,NC_048136_Kayfunavirus Ro45lw
NC_048025,NC_048025_Kayfunavirus SFPH2
NC_031123,NC_031123_Kayfunavirus SH3
NC_031018,NC_031018_Kayfunavirus SH4
NC_047829,NC_047829_Kayfunavirus ST31
NC_048023,NC_048023_Kayfunavirus Vec13
NC_047927,NC_047927_Kayfunavirus YZ1
NC_047777,NC_047777_Kayfunavirus ZG49
NC_011085,NC_011085_Minipunavirus MmP1
NC_031115,NC_031115_Minipunavirus MP2
NC_048052,NC_048052_Ningirsuvirus JA10
NC_047964,NC_047964_Ningirsuvirus ninurta
NC_047801,NC_047801_Pektosvirus PP47
NC_047797,NC_047797_Pektosvirus PP81
NC_047819,NC_047819_Pektosvirus PPWS4
NC_023005,NC_023005_Phutvirus PPpW4
NC_015264,NC_015264_Pifdecavirus IBBPF7A
NC_027292,NC_027292_Pifdecavirus Pf10
NC_047997,NC_047997_Pifdecavirus PFP1
NC_021062,NC_021062_Pifdecavirus PhiS1
NC_047965,NC_047965_Pifdecavirus pv22PfluR64PP
NC_047873,NC_047873_Pifdecavirus UNOSLW1
NC_047981,NC_047981_Pijolavirus PspYZU08
NC_047842,NC_047842_Przondovirus 2044307w
NC_047781,NC_047781_Przondovirus BIS33
NC_048138,NC_048138_Przondovirus henu1
NC_047782,NC_047782_Przondovirus IL33
NC_047761,NC_047761_Przondovirus IME205
NC_048014,NC_048014_Przondovirus IME321
NC_028800,NC_028800_Przondovirus K5
NC_011043,NC_011043_Przondovirus K11
NC_015719,NC_015719_Przondovirus K30
NC_047798,NC_047798_Przondovirus K52
NC_047799,NC_047799_Przondovirus K54
NC_048129,NC_048129_Przondovirus KN11
NC_048131,NC_048131_Przondovirus KN31
NC_048130,NC_048130_Przondovirus KN41
NC_028688,NC_028688_Przondovirus Kp1
NC_013647,NC_013647_Przondovirus KP32
NC_047968,NC_047968_Przondovirus KP32i192
NC_047969,NC_047969_Przondovirus KP32i194
NC_047970,NC_047970_Przondovirus KP32i195
NC_047971,NC_047971_Przondovirus KP32i196
NC_048114,NC_048114_Przondovirus kpssk3
NC_028977,NC_028977_Przondovirus KpV289
NC_047771,NC_047771_Przondovirus KpV763
NC_047773,NC_047773_Przondovirus KpV766
NC_047772,NC_047772_Przondovirus KpV767
NC_048175,NC_048175_Przondovirus pharr
NC_047780,NC_047780_Przondovirus PRA33
NC_047980,NC_047980_Przondovirus SHKp152234
NC_047908,NC_047908_Przondovirus SHKp152410
NC_047844,NC_047844_Teetrevirus 2050H2
NC_025451,NC_025451_Teetrevirus AP5
NC_028880,NC_028880_Teetrevirus CFP1
NC_029102,NC_029102_Teetrevirus E2
NC_028795,NC_028795_Teetrevirus E3
NC_047766,NC_047766_Teetrevirus ECA2
NC_048063,NC_048063_Teetrevirus LL2
NC_010807,NC_010807_Teetrevirus SGJL2
NC_031066,NC_031066_Teetrevirus SH1
NC_031092,NC_031092_Teetrevirus SH2
NC_047774,NC_047774_Teetrevirus SM93Y
NC_003298,NC_003298_Teetrevirus T3Luria
NC_047867,NC_047867_Teetrevirus T7M
NC_047843,NC_047843_Teetrevirus tv10164302
NC_047755,NC_047755_Teetrevirus YeF10
NC_001271,NC_001271_Teetrevirus YeO312
NC_011045,NC_011045_Teseptimavirus 13a
NC_048079,NC_048079_Teseptimavirus C5
NC_027387,NC_027387_Teseptimavirus CICC80001
NC_047942,NC_047942_Teseptimavirus ebrios
NC_047895,NC_047895_Teseptimavirus EG1
NC_047923,NC_047923_Teseptimavirus HZ2R8
NC_048164,NC_048164_Teseptimavirus HZP2
NC_019416,NC_019416_Teseptimavirus IME15
NC_048082,NC_048082_Teseptimavirus IME390
NC_048078,NC_048078_Teseptimavirus N30
NC_048163,NC_048163_Teseptimavirus NCA
NC_001604,NC_001604_Teseptimavirus T7
NC_048004,NC_048004_Teseptimavirus tv3A8767
NC_031114,NC_031114_Teseptimavirus tv64795ec1
NC_015271,NC_015271_Teseptimavirus Vi06
NC_047939,NC_047939_Teseptimavirus YpPY
NC_047940,NC_047940_Teseptimavirus YpsPG
NC_015208,NC_015208_Troedvirus Phi15
NC_047886,NC_047886_Unyawovirus DUPPII
NC_054890,NC_054890_Warsawvirus 3MF5
NC_029031,NC_029031_Aegirvirus SCBP42
NC_054891,NC_054891_Anchaingvirus anchaing
NC_041912,NC_041912_Aqualcavirus P14
NC_047709,NC_047709_Ashivirus S45C4
NC_047845,NC_047845_Atuphduovirus atuph02
NC_047846,NC_047846_Atuphduovirus atuph03
NC_047800,NC_047800_Ayakvirus Ap1
NC_047704,NC_047704_Ayaqvirus S45C18
NC_020872,NC_020872_Banchanvirus SS1201
NC_031014,NC_031014_Bifseptvirus andromeda
NC_016764,NC_016764_Bifseptvirus Bf7
NC_025445,NC_025445_Bonnellvirus J865
NC_048177,NC_048177_Bonnellvirus lidtsur
NC_016658,NC_016658_Cheungvirus NATL1A7
NC_048050,NC_048050_Chosvirus KM23C739
NC_047868,NC_047868_Cuernavacavirus RHEph02
NC_047869,NC_047869_Cuernavacavirus RHEph08
NC_047870,NC_047870_Cuernavacavirus RHEph09
NC_048123,NC_048123_Cyclitvirus cyclit
NC_047890,NC_047890_Ermolevavirus PGT2
NC_019520,NC_019520_Ermolevavirus PhiKT
NC_047834,NC_047834_Foturvirus H44
NC_047705,NC_047705_Foussvirus S46C10
NC_047703,NC_047703_Fussvirus S30C28
NC_027330,NC_027330_Gajwadongvirus ECBP5
NC_047802,NC_047802_Gajwadongvirus PP99
NC_047888,NC_047888_Gyeongsanvirus DURPI
NC_047946,NC_047946_Gyeongsanvirus RsoP1EGY
NC_048026,NC_048026_Igirivirus STIP37
NC_022917,NC_022917_Jiaoyazivirus RSB3
NC_047768,NC_047768_Kafavirus SWcelC56
NC_020867,NC_020867_Kajamvirus SRIP1
NC_048148,NC_048148_Kakivirus PS3
NC_048055,NC_048055_Kalppathivirus P26059B
NC_023736,NC_023736_Kelmasvirus RSB2
NC_025455,NC_025455_Kembevirus SCBP2
NC_047708,NC_047708_Krakvirus S39C11
NC_024329,NC_024329_Lauvirus lau218
NC_019454,NC_019454_Limelightvirus limelight
NC_020878,NC_020878_Lingvirus PGSP1
NC_048184,NC_048184_Lirvirus SCBP3
NC_047860,NC_047860_Lullwatervirus lullwater
NC_048035,NC_048035_Maculvirus KF1
NC_048036,NC_048036_Maculvirus KF2
NC_048167,NC_048167_Maculvirus OWB
NC_012662,NC_012662_Maculvirus VP93
NC_041885,NC_041885_Napahaivirus VSW3
NC_047706,NC_047706_Nohivirus S31C1
NC_047700,NC_047700_Oinezvirus S37C6
NC_047738,NC_047738_Paadamvirus RHEph01
NC_025431,NC_025431_Pairvirus Lo5R7ANS
NC_047710,NC_047710_Pedosvirus S28C3
NC_020483,NC_020483_Pelagivirus HTVC019P
NC_047702,NC_047702_Pelagivirus S35C6
NC_029092,NC_029092_Percyvirus percy
NC_028702,NC_028702_Piedvirus IMEDE1
NC_042104,NC_042104_Pollyceevirus pollyC
NC_048183,NC_048183_Poseidonvirus SCBP4
NC_030928,NC_030928_Pradovirus f20
NC_030937,NC_030937_Pradovirus f30
NC_022987,NC_022987_Pradovirus prado
NC_047762,NC_047762_Pradovirus XAJ24
NC_047840,NC_047840_Pradovirus Xc10
NC_048171,NC_048171_Qadamvirus SB28
NC_048029,NC_048029_Scottvirus scott
NC_020838,NC_020838_Sednavirus SRIP2
NC_047751,NC_047751_Serkorvirus ITL1
NC_047701,NC_047701_Sieqvirus S42C7
NC_047982,NC_047982_Stompelvirus RPSC1
NC_047707,NC_047707_Stopalavirus S38C3
NC_020482,NC_020482_Stopavirus HTVC011P
NC_016659,NC_016659_Tangaroavirus NATL2A133
NC_020835,NC_020835_Tangaroavirus PSSP10
NC_016657,NC_016657_Tangaroavirus tv951510a
NC_047741,NC_047741_Tawavirus JSF7
NC_006882,NC_006882_Tiamatvirus PSSP7
NC_003390,NC_003390_Tiilvirus P60
NC_016656,NC_016656_Tritonvirus PSSP2
NC_020874,NC_020874_Tritonvirus PSSP3
NC_009531,NC_009531_Voetvirus syn5
NC_047711,NC_047711_Votkovvirus S28C10
NC_015585,NC_015585_Waewaevirus limezero
NC_047832,NC_047832_Wuhanvirus PHB01
NC_047831,NC_047831_Wuhanvirus PHB02
NC_018283,NC_018283_Burkholderia virus AH2
NC_020853,NC_020853_Broinstvirus pCB2051A
NC_052978,NC_052978_Cenphatecvirus saba
NC_048655,NC_048655_Chivirus BSPM4
NC_021315,NC_021315_Chivirus chi
NC_048632,NC_048632_Chivirus cv35
NC_029045,NC_029045_Chivirus cv37
NC_031930,NC_031930_Chivirus cv118970sal1
NC_052999,NC_052999_Chivirus ER24
NC_021779,NC_021779_Chivirus FSLSP030
NC_021780,NC_021780_Chivirus FSLSP088
NC_021783,NC_021783_Chivirus iEPS5
NC_048683,NC_048683_Chivirus KFSSE1
NC_052991,NC_052991_Chivirus KpYy141
NC_053000,NC_053000_Chivirus SeWh1
NC_048727,NC_048727_Chivirus siskin
NC_019417,NC_019417_Chivirus SPN19
NC_048648,NC_048648_Chivirus ST101
NC_048666,NC_048666_Chivirus YSD1
NC_031228,NC_031228_Salmonella virus BP12C
NC_053012,NC_053012_Dunedinvirus JS26
NC_019524,NC_019524_Enchivirus Enc34
NC_029106,NC_029106_Fengtaivirus Axp2
NC_052974,NC_052974_Gediminasvirus AchV4
NC_053011,NC_053011_Gwanakrovirus SNUABM08
NC_052989,NC_052989_Jacunavirus JC01
NC_052979,NC_052979_Kokobelvirus kokobel1
NC_052983,NC_052983_Lavrentieva E21
NC_052981,NC_052981_Lavrentieva PM87
NC_028812,NC_028812_Lavrentieva pPM01
NC_053013,NC_053013_Maxdohrnvirus SS2019XI
NC_005091,NC_005091_Burkholderia virus BcepNazgul
NC_053015,NC_053015_Newforgelanevirus MA12
NC_052977,NC_052977_Phobosvirus phobos
NC_052976,NC_052976_Phobosvirus PspYZU01
NC_053009,NC_053009_Redjacvirus piberecoleta
NC_018832,NC_018832_Redjacvirus redjac
NC_053010,NC_053010_Redjacvirus stilesk
NC_052973,NC_052973_Salvovirus bacata
NC_042345,NC_042345_Salvovirus salvo
NC_042344,NC_042344_Xylella virus Sano
NC_052975,NC_052975_Seodaemunguvirus YMC16-01N133
NC_052968,NC_052968_Sessunavirus SESS1
NC_052984,NC_052984_Sharonstreetvirus A18P4
NC_052986,NC_052986_Sharonstreetvirus BUCT551
NC_052985,NC_052985_Sharonstreetvirus LAh7
NC_048670,NC_048670_Yonseivirus N137
NC_048732,NC_048732_Yonseivirus seifer
NC_053008,NC_053008_Zhonglingvirus SAP012
NC_048845,NC_048845_Carltongylesvirus flopper
NC_010106,NC_010106_Carltongylesvirus GJ1
NC_048799,NC_048799_Carltongylesvirus mangalitsa
NC_047830,NC_047830_Carltongylesvirus ST32
NC_047978,NC_047978_Faunusvirus faunus
NC_048875,NC_048875_Loessnervirus SSEM1
NC_019504,NC_019504_Loessnervirus Y2
NC_048803,NC_048803_Myducvirus myduc
NC_049466,NC_049466_Sabourvirus sv4HA13
NC_023865,NC_023865_Suwonvirus PM1
NC_047791,NC_047791_Suwonvirus PP101
NC_025459,NC_025459_Pahsextavirus pAh6C
NC_023594,NC_023594_Yushanvirus Spp001
NC_047824,NC_047824_Yushanvirus SppYZU05
NC_042100,NC_042100_Aphroditevirus aphrodite1
NC_048747,NC_048747_Aphroditevirus av2TSL2019
NC_048821,NC_048821_Aphroditevirus PDCC1
NC_048779,NC_048779_Aphroditevirus USC1
NC_041916,NC_041916_Tidunavirus pTD1
NC_042136,NC_042136_Tidunavirus VP4B
NC_041972,NC_041972_Agricanvirus deimos
NC_042098,NC_042098_Agricanvirus desertfox
NC_023557,NC_023557_Agricanvirus Ea3570
NC_041973,NC_041973_Agricanvirus ray
NC_041974,NC_041974_Agricanvirus simmy50
NC_041975,NC_041975_Agricanvirus specialG
NC_028899,NC_028899_Chiangmaivirus RSF1
NC_028950,NC_028950_Chiangmaivirus RSL2
NC_048173,NC_048173_Derbicusvirus derbicus
NC_007623,NC_007623_Elvirus EL
NC_031107,NC_031107_Erskinevirus asesino
NC_019929,NC_019929_Erskinevirus EaH2
NC_048170,NC_048170_Goslarvirus goslar
NC_023610,NC_023610_Iapetusvirus EaH1
NC_042056,NC_042056_Machinavirus machina
NC_048792,NC_048792_Moabitevirus moabite
NC_048668,NC_048668_Moabitevirus mv2050HW
NC_041994,NC_041994_Noxifervirus noxifer
NC_048182,NC_048182_Petsuvirus pEtSU
NC_042060,NC_042060_Phikzvirus PA7
NC_004629,NC_004629_Phikzvirus phiKZ
NC_042081,NC_042081_Phikzvirus SL2
NC_041911,NC_041911_Ripduovirus RP12
NC_042018,NC_042018_Risingsunvirus risingsun
NC_027402,NC_027402_Seoulvirus SPN3US
NC_043027,NC_043027_Takahashivirus PBS1
NC_048016,NC_048016_Wellingtonvirus wellington
NC_042094,NC_042094_Cetovirus ceto
NC_042074,NC_042074_Jesfedecavirus JSF10
NC_047882,NC_047882_Jesfedecavirus JSF12
NC_028895,NC_028895_Jesfedecavirus phi3
NC_055794,NC_055794_Thalassavirus achelous
NC_055848,NC_055848_Thalassavirus AG74
NC_055851,NC_055851_Thalassavirus athena
NC_055829,NC_055829_Thalassavirus bennett
NC_055800,NC_055800_Thalassavirus brizo
NC_055830,NC_055830_Thalassavirus chester
NC_055849,NC_055849_Thalassavirus cody
NC_055913,NC_055913_Thalassavirus gary
NC_055801,NC_055801_Thalassavirus pontus
NC_055850,NC_055850_Thalassavirus quinn
NC_055847,NC_055847_Thalassavirus river4
NC_042095,NC_042095_Thalassavirus thalassa
NC_019529,NC_019529_Vipunavirus pVp1
NC_031902,NC_031902_Epseptimavirus 100268sal2
NC_031933,NC_031933_Epseptimavirus 118970sal2
NC_048872,NC_048872_Epseptimavirus atrejo
NC_048870,NC_048870_Epseptimavirus bastian
NC_048866,NC_048866_Epseptimavirus bombadil
NC_010583,NC_010583_Epseptimavirus EPS7
NC_048809,NC_048809_Epseptimavirus ev23
NC_048819,NC_048819_Epseptimavirus ev119
NC_048149,NC_048149_Epseptimavirus ev123
NC_048811,NC_048811_Epseptimavirus ev129
NC_048145,NC_048145_Epseptimavirus ev329
NC_048867,NC_048867_Epseptimavirus faergetype
NC_048869,NC_048869_Epseptimavirus fuchur
NC_048000,NC_048000_Epseptimavirus LVR16A
NC_048203,NC_048203_Epseptimavirus mar003J3
NC_048871,NC_048871_Epseptimavirus oselot
NC_048808,NC_048808_Epseptimavirus OSYSTA
NC_019919,NC_019919_Epseptimavirus R201
NC_048868,NC_048868_Epseptimavirus rokbiter
NC_048005,NC_048005_Epseptimavirus S113
NC_048006,NC_048006_Epseptimavirus S114
NC_048007,NC_048007_Epseptimavirus S116
NC_048013,NC_048013_Epseptimavirus S124
NC_048008,NC_048008_Epseptimavirus S126
NC_048010,NC_048010_Epseptimavirus S132
NC_048011,NC_048011_Epseptimavirus S133
NC_048012,NC_048012_Epseptimavirus S147
NC_047884,NC_047884_Epseptimavirus saus132
NC_048781,NC_048781_Epseptimavirus SB13
NC_048785,NC_048785_Epseptimavirus SE24
NC_048110,NC_048110_Epseptimavirus seafire
NC_048760,NC_048760_Epseptimavirus sepoy
NC_047999,NC_047999_Epseptimavirus SH9
NC_048089,NC_048089_Epseptimavirus STG2
NC_027297,NC_027297_Epseptimavirus stitch
NC_048062,NC_048062_Epseptimavirus Sw2
NC_017969,NC_017969_Tequintavirus AKFV33
NC_047754,NC_047754_Tequintavirus APCEc03
NC_047885,NC_047885_Tequintavirus chee24
NC_047749,NC_047749_Tequintavirus DT5712
NC_027356,NC_027356_Tequintavirus DT57C
NC_024139,NC_024139_Tequintavirus FFH1
NC_048731,NC_048731_Tequintavirus fp01
NC_047979,NC_047979_Tequintavirus gostya9
NC_042307,NC_042307_Tequintavirus H8
NC_048748,NC_048748_Tequintavirus HdH2
NC_048852,NC_048852_Tequintavirus L6jm
NC_047822,NC_047822_Tequintavirus LLS
NC_048205,NC_048205_Tequintavirus mar004NP2
NC_048853,NC_048853_Tequintavirus NBEco001
NC_048855,NC_048855_Tequintavirus NBEco002
NC_048856,NC_048856_Tequintavirus NBSal003
NC_048857,NC_048857_Tequintavirus NBSal005
NC_031042,NC_031042_Tequintavirus NR01
NC_048865,NC_048865_Tequintavirus oldekolle
