METADATA

SEPARATOR COMMA
FIELD_LABELS,Order,Family,Subfamily,Genus
NC_042089,Pungovirales,Matchlockviridae,Kalykevirinae,Gustavvirus
NC_042355,Pungovirales,Matchlockviridae,Karivirinae,Gustavvirus
NC_009799,Pungovirales,Matchlockviridae,Karivirinae,Gustavvirus
NC_042354,Pungovirales,Matchlockviridae,Karivirinae,Gustavvirus
NC_070762,Mjï¿½lnirvirales,Mjï¿½lnirviridae,Praxidikevirinae,Gimaduovirus
NC_070761,Mjï¿½lnirvirales,Mjï¿½lnirviridae,Praxidikevirinae,Gimaduovirus
NC_070763,Mjï¿½lnirvirales,Mjï¿½lnirviridae,Praxidikevirinae,Gimaduovirus
NC_048176,Mjï¿½lnirvirales,Mjï¿½lnirviridae,Churavirinae,Godonkavirus
NC_070764,Mjï¿½lnirvirales,Mjï¿½lnirviridae,Churavirinae,Godonkavirus
NC_048676,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_041865,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_007810,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_011166,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_050146,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_017674,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_050148,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_048626,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_026600,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_048744,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_050151,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_028971,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_028745,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_050143,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_048663,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_050149,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_048662,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_048675,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_028939,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_048806,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_041902,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_050150,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_048699,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_042079,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_011703,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_019935,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_042080,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_048745,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_011756,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_011165,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_050145,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_011810,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_019451,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_041870,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_050144,Bardichevirales,Bardicheviridae,Dulcineavirinae,Pbunavirus
NC_048195,Bardichevirales,Bardicheviridae,Sycoraxvirinae,Wifcevirus
NC_048147,Bardichevirales,Bardicheviridae,Sycoraxvirinae,Carpasinavirus
NC_048759,Bardichevirales,Bardicheviridae,Sycoraxvirinae,Myosmarvirus
NC_048796,Bardichevirales,Bardicheviridae,Sycoraxvirinae,Kylevirus
NC_048800,Bardichevirales,Bardicheviridae,Sycoraxvirinae,Myosmarvirus
NC_042092,Bardichevirales,Bardicheviridae,Sycoraxvirinae,Kylevirus
NC_025441,Bardichevirales,Bardicheviridae,Sycoraxvirinae,Wifcevirus
NC_047962,Bardichevirales,Bardicheviridae,Sycoraxvirinae,Carpasinavirus
NC_048194,Bardichevirales,Bardicheviridae,Sycoraxvirinae,Wifcevirus
NC_048073,Bardichevirales,Bardicheviridae,Sycoraxvirinae,Wifcevirus
NC_009015,Bardichevirales,Bardicheviridae,Zubenelgenubivirinae,Bcepfunavirus
NC_054433,Dunevirales_1,Molotovviridae,Smertriosvirinae,Trigintaduovirus
NC_054432,Dunevirales_1,Molotovviridae,Smertriosvirinae,Trigintaduovirus
NC_023602,Dunevirales_1,Molotovviridae,Deimosvirinae,Trigintaduovirus
NC_051725,Dunevirales_1,Molotovviridae,Deimosvirinae,Trigintaduovirus
NC_009993,Dunevirales_1,Molotovviridae,Deimosvirinae,Trigintaduovirus
NC_048802,Pantevenvirales,Mortarviridae,Anthevirinae,Menderavirus
NC_048804,Pantevenvirales,Mortarviridae,Anthevirinae,Menderavirus
NC_070951,Pantevenvirales,Mortarviridae,Anthevirinae,Menderavirus
NC_054952,Pantevenvirales,Mortarviridae,Anthevirinae,Menderavirus
NC_041997,Pantevenvirales,Mortarviridae,Anthevirinae,Busanvirus
NC_027118,Muramasavirales,Muramasaviridae,Franciscovirinae,Enhodamvirus
NC_070953,Muramasavirales,Muramasaviridae,Franciscovirinae,Mareflavirus
NC_005879,Muramasavirales,Muramasaviridae,Franciscovirinae,Enhodamvirus
NC_005891,Muramasavirales,Muramasaviridae,Franciscovirinae,Enhodamvirus
NC_070933,Muramasavirales,Muramasaviridae,Nachtwachtvirinae,Wolominvirus
NC_048198,Wakizashivirales,Wakizashiviridae,Euanthevirinae,Feofaniavirus
NC_048197,Wakizashivirales,Wakizashiviridae,Euanthevirinae,Feofaniavirus
NC_070949,Wakizashivirales,Wakizashiviridae,Negoiuvirinae,Feofaniavirus
NC_071003,Wakizashivirales,Wakizashiviridae,Aumatexvirinae,Feofaniavirus
NC_071005,Nerfvirales,Nerfviridae,Erriapusvirinae,Chidieberevirus
NC_071006,Nerfvirales,Nerfviridae,Erriapusvirinae,Chidieberevirus
NC_030906,Nerfvirales,Nerfviridae,Erriapusvirinae,Bendigovirus
NC_071014,Nerfvirales,Nerfviridae,Rasalhaguevirinae,Cantarevirus
NC_049851,Pantevenvirales,Nightshadeviridae,Eburoniavirinae,Sarumanvirus
NC_010811,Pantevenvirales,Nightshadeviridae,Eburoniavirinae,Mieseafarmvirus
NC_049850,Pantevenvirales,Nightshadeviridae,Eburoniavirinae,Sarumanvirus
NC_049849,Pantevenvirales,Nightshadeviridae,Eburoniavirinae,Moturavirus
NC_047786,Oblivionvirales,Oblivionviridae,Bestlavirinae,Nonanavirus
NC_071011,Oblivionvirales,Oblivionviridae,Bestlavirinae,Carvajevirus
NC_025443,Oblivionvirales,Oblivionviridae,Bestlavirinae,Nonanavirus
NC_041925,Oblivionvirales,Oblivionviridae,Viculusvirinae,Gorganvirus
NC_048766,Onagervirales,Onagerviridae,Nakanbévirinae,Dibbivirus
NC_048767,Onagervirales,Onagerviridae,Nakanbévirinae,Dibbivirus
NC_070774,Onagervirales,Onagerviridae,Nakanbévirinae,Tieomvirus
NC_017981,Onagervirales,Onagerviridae,Nakanbévirinae,Dibbivirus
NC_047958,Pepperboxvirales,Pepperboxviridae,Jebusvirinae,Kelquatrovirus
NC_007804,Pepperboxvirales,Pepperboxviridae,Mundilfarivirinae,Uetakevirus_2
NC_016761,Pepperboxvirales,Pepperboxviridae,Mundilfarivirinae,Uetakevirus_1
NC_004775,Pepperboxvirales,Pepperboxviridae,Mundilfarivirinae,Uetakevirus_1
NC_048667,Pugiovirales,Pugioviridae,Regočvirinae,Deurplevirus
NC_026589,Salasmavirales_1,Bayonetteviridae,Aegirvirinae,Chenonavirus
NC_004683,Salasmavirales_1,Bayonetteviridae,Aegirvirinae,Chenonavirus
NC_042351,,Poniardviridae,Orbitarvirinae,Kryptosalinivirus
NC_042349,,Poniardviridae,Orbitarvirinae,Kryptosalinivirus
NC_042352,,Poniardviridae,Orbitarvirinae,Kairosalinivirus
NC_042353,,Poniardviridae,Orbitarvirinae,Kairosalinivirus
NC_071004,Drexlervirales_1,Parazoniumviridae,Onasilosvirinae,Clawzvirus
NC_070934,Drexlervirales_1,Parazoniumviridae,Onasilosvirinae,Northamptonvirus
NC_070935,Drexlervirales_1,Parazoniumviridae,Onasilosvirinae,Northamptonvirus
NC_048019,Dunevirales_1,Rhomphaiaviridae,Makropulosvirinae,Ruthyvirus
NC_053172,Dunevirales_1,Rhomphaiaviridae,Makropulosvirinae,Ruthyvirus
NC_031247,Dunevirales_1,Rhomphaiaviridae,Makropulosvirinae,Betterkatzvirus
NC_048068,Ripwingvirales,Ripwingviridae,Naqaỹavirinae,Gillianvirus
NC_047973,Ripwingvirales,Ripwingviridae,Naqaỹavirinae,Squashvirus
NC_047975,Ripwingvirales,Ripwingviridae,Naqaỹavirinae,Squashvirus
NC_070838,Trojanvirales,Trojanviridae,Naqaỹavirinae,Silentrexvirus
NC_041961,Trojanvirales,Trojanviridae,Naqaỹavirinae,Silentrexvirus
NC_005345,Scorpionvirales,Scorpionviridae,Najsakopajkvirinae,Sfunavirus
NC_028807,Scorpionvirales,Scorpionviridae,Skollvirinae,Sfunavirus
NC_028952,Scorpionvirales,Scorpionviridae,Skollvirinae,Sfunavirus
NC_028830,Scythevirales,Scytheviridae,Draugrvirinae,Iaduovirus
NC_031036,Scythevirales,Scytheviridae,Draugrvirinae,Iaduovirus
NC_056724,Scythevirales,Scytheviridae,Draugrvirinae,Iaduovirus
NC_009737,Tabarvirales,Tabarviridae,Draugrvirinae,Svunavirus
NC_055037,Tabarvirales,Tabarviridae,Draugrvirinae,Seongbukvirus
NC_008376,Tabarvirales,Tabarviridae,Draugrvirinae,Svunavirus
NC_042001,Shrapnelvirales,Shrapnelviridae,Tassilivirinae,Amigovirus
NC_041949,Shrapnelvirales,Shrapnelviridae,Tassilivirinae,Amigovirus
NC_023859,Shrapnelvirales,Shrapnelviridae,Tassilivirinae,Farahnazvirus
NC_013698,Nagantvirales,Nagantviridae,Tassilivirinae,Cimpunavirus
NC_023549,Nagantvirales,Nagantviridae,Tassilivirinae,Cimpunavirus
NC_007051,Pachyvirales_1,Stilettoviridae,Pipiteavirinae,Fibralongavirus
NC_048192,Pachyvirales_1,Stilettoviridae,Pipiteavirinae,Fibralongavirus
NC_070727,Pachyvirales_1,Stilettoviridae,Pipiteavirinae,Zhangqianvirus
NC_029094,Tomahawkvirales,Tomahawkviridae,Isonoevirinae,Mohonavirus
NC_047839,Tomahawkvirales,Tomahawkviridae,Isonoevirinae,Mohonavirus
NC_015157,Tomahawkvirales,Tomahawkviridae,Gomeisavirinae,Mohonavirus
NC_041887,Stanwilliamsvirales,Trebuchetviridae,Dagonvirinae,Trinavirus
NC_042040,Stanwilliamsvirales,Trebuchetviridae,Dagonvirinae,Trinavirus
NC_048139,Magrovirales_1,ZweihÃ¤nderviridae,Meztlivirinae,Goodmanvirus
NC_048101,Magrovirales_1,ZweihÃ¤nderviridae,Meztlivirinae,Goodmanvirus
NC_006557,Estocvirales,Estocviridae,Tadmorvirinae,Jarrellvirus
NC_047912,Estocvirales,Estocviridae,Tadmorvirinae,Jarrellvirus
NC_048651,Tepoztopillivirales,Tepoztopilliviridae,Babyloniavirinae,Kamchatkavirus
NC_048701,Tepoztopillivirales,Tepoztopilliviridae,Babyloniavirinae,Kamchatkavirus
NC_005887,Macuahuitlvirales,Macuahuitlviridae,Lipperheyvirinae,Rauchvirus
NC_005357,Macuahuitlvirales,Macuahuitlviridae,Lipperheyvirinae,Rauchvirus
NC_030942,Dunevirales_1,Urumiviridae,Vytisvirinae,Britbratvirus
NC_031936,Dunevirales_1,Urumiviridae,Vytisvirinae,Britbratvirus
NC_070946,Blunderbussvirales,Blunderbussviridae,Polydeucesvirinae,Mudcatvirus
NC_070947,Blunderbussvirales,Blunderbussviridae,Polydeucesvirinae,Mudcatvirus
NC_070940,Blunderbussvirales,Blunderbussviridae,Polydeucesvirinae,Mudcatvirus
NC_070939,Blunderbussvirales,Blunderbussviridae,Polydeucesvirinae,Mudcatvirus
NC_070945,Blunderbussvirales,Blunderbussviridae,Polydeucesvirinae,Mudcatvirus
NC_031224,Blunderbussvirales,Blunderbussviridae,Polydeucesvirinae,Mudcatvirus
NC_041948,Blunderbussvirales,Blunderbussviridae,Polydeucesvirinae,Mudcatvirus
NC_070942,Blunderbussvirales,Blunderbussviridae,Polydeucesvirinae,Mudcatvirus
NC_070938,Blunderbussvirales,Blunderbussviridae,Polydeucesvirinae,Mudcatvirus
NC_070944,Blunderbussvirales,Blunderbussviridae,Polydeucesvirinae,Mudcatvirus
NC_070943,Blunderbussvirales,Blunderbussviridae,Polydeucesvirinae,Mudcatvirus
NC_070941,Blunderbussvirales,Blunderbussviridae,Polydeucesvirinae,Mudcatvirus
NC_070877,Blunderbussvirales,Blunderbussviridae,Polydeucesvirinae,Quivirus
NC_042016,Blunderbussvirales,Blunderbussviridae,Opheliavirinae,Rimavirus
NC_041952,Blunderbussvirales,Blunderbussviridae,Opheliavirinae,Gordonvirus
NC_042042,Blunderbussvirales,Blunderbussviridae,Opheliavirinae,Bingvirus
NC_042106,Blunderbussvirales,Blunderbussviridae,Opheliavirinae,Bingvirus
NC_041889,Blunderbussvirales,Blunderbussviridae,Opheliavirinae,Rimavirus
NC_041951,Blunderbussvirales,Blunderbussviridae,Opheliavirinae,Gordonvirus
NC_055027,Blunderbussvirales,Blunderbussviridae,Elaravirinae,Fremauxvirus
NC_024215,Blunderbussvirales,Blunderbussviridae,Elaravirinae,Nevevirus
NC_047916,Blunderbussvirales,Blunderbussviridae,Elaravirinae,Oengusvirus
NC_024214,Blunderbussvirales,Blunderbussviridae,Elaravirinae,Nevevirus
NC_010576,Blunderbussvirales,Blunderbussviridae,Elaravirinae,Fremauxvirus
NC_024208,Blunderbussvirales,Blunderbussviridae,Elaravirinae,Nevevirus
NC_024203,Blunderbussvirales,Blunderbussviridae,Elaravirinae,Nevevirus
NC_049340,Pantevenvirales,Ranseurviridae,Amateruvirinae,Kungbxnavirus
NC_049383,Pantevenvirales,Ranseurviridae,Amateruvirinae,Kungbxnavirus
NC_055026,Thunderstickvirales,Thunderstickviridae,Arbervirinae,Yanchengvirus
NC_070759,Thunderstickvirales,Thunderstickviridae,Arbervirinae,Yanchengvirus
NC_003309,,Arberviridae,Arbervirinae,Stanholtvirus
NC_005284,,Arberviridae,Arbervirinae,Stanholtvirus
NC_009235,,Arberviridae,Arbervirinae,Stanholtvirus
NC_031004,Madisavirales,Yariviridae,Beirutvirinae,Syrbvirus
NC_026597,Madisavirales,Yariviridae,Beirutvirinae,Syrbvirus
NC_022339,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_018851,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027336,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_022337,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_022340,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027380,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027401,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027625,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027389,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_022342,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_041955,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027391,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_041956,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_022334,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027354,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027386,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027346,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027347,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_041957,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027385,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027371,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027620,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_018847,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027357,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_018842,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_018839,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027622,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027624,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_018849,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027623,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_041954,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027621,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027370,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027627,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027367,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027362,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_018834,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_018838,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_018841,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_018840,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_018845,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027630,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027626,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027629,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_018852,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027628,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027333,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_022338,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027405,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027295,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027403,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027392,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_027376,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_022341,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_015453,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_015454,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_009541,Verdandivirales_1,Runguviridae,Quijotevirinae,Pahexavirus
NC_049373,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049421,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049483,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049370,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049381,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049368,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_001909,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_017698,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_3
NC_049361,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049369,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049401,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049358,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_017702,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_3
NC_049357,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049360,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049481,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049403,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049410,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_017688,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049414,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_3
NC_049420,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049487,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_4
NC_013155,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_017695,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049363,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049399,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049367,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049353,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049349,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049362,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_3
NC_021853,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049488,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049447,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049408,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049364,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_021854,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_3
NC_001835,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_3
NC_011046,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049434,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049484,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049405,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_5
NC_049417,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049407,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049406,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049352,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049419,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049423,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_021852,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049474,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049485,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_013153,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049347,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049424,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_021855,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_3
NC_049409,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049400,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_3
NC_049415,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_4
NC_049412,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049346,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049397,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049425,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049416,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_017696,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_3
NC_049356,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049486,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_055050,Mambelevirales,Mambeleviridae,Ganymedevirinae,Uwajimavirus
NC_049375,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049404,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049376,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049377,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049475,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_008370,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_4
NC_049480,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049366,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049348,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_008363,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049351,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_028900,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_3
NC_049411,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049354,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_021860,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049398,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049482,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049374,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049413,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049359,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049426,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049418,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_013152,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049402,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049355,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_3
NC_049446,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_2
NC_049365,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049476,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_049422,Mambelevirales,Mambeleviridae,Ganymedevirinae,Skunavirus_1
NC_048074,Kpingavirales,Kpingaviridae,Finlayvirinae,Saclayvirus
NC_048075,Kpingavirales,Kpingaviridae,Finlayvirinae,Saclayvirus
NC_048080,Kpingavirales,Kpingaviridae,Finlayvirinae,Saclayvirus
NC_047742,Sengesevirales,Sengeseviridae,Carmevirinae,Murrayvirus
