genome_accn,genome_name,genome_length,total_proteins,taxonomy_string
NC_027333,"Propionibacterium phage PHL070N00, complete genome",29421,44,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL070N00
NC_027335,"Enterococcus phage ECP3, complete genome",145519,220,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Brockvirinae; Kochikohdavirus; Kochikohdavirus ECP3
NC_027336,"Propionibacterium phage PHL009M11, complete genome",29503,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL009M11
NC_027337,"Escherichia phage vB_EcoM-VpaE1, complete genome",88403,132,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ounavirinae; Felixounavirus; Felixounavirus VpaE1
NC_027340,"Erwinia phage phiEa2809, complete genome",162160,145,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ackermannviridae; Nezavisimistyvirus; Nezavisimistyvirus Ea2809
NC_027341,"Lactococcus phage WRP3, complete genome",130008,178,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Audreyjarvisvirus; Audreyjarvisvirus WRP3
NC_027342,"Proteus phage PM16, complete genome",41268,46,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Slopekvirinae; Novosibovirus; Novosibovirus PM16
NC_027344,"Salmonella phage STML-198, complete genome",158099,255,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Tevenvirinae; Gelderlandvirus; Gelderlandvirus stml198
NC_027346,"Propionibacterium phage PHL171M01, complete genome",29327,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL171M01
NC_027347,"Propionibacterium phage PHL151M00, complete genome",29511,46,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL151M00
NC_027348,"Delftia phage RG-2014, complete genome",73882,88,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Schitoviridae; Dendoorenvirus; Dendoorenvirus RG2014
NC_027349,"Escherichia phage HY01, complete genome",166977,255,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Tevenvirinae; Tequatrovirus; Tequatrovirus hy01
NC_027350,"Citrobacter phage Stevie, complete genome",49816,90,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Tempevirinae; Tlsvirus; Tlsvirus stevie
NC_027351,"Salmonella phage SSE-121, complete genome",147745,242,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vequintavirinae; Seunavirus; Seunavirus SSE121
NC_027352,"Bacillus phage JBP901, complete genome",159492,201,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Bastillevirinae; Caeruleovirus; Caeruleovirus JBP901
NC_027353,Yersinia phage phiD1 complete genome,167063,277,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Tevenvirinae; Tequatrovirus; Tequatrovirus deeone
NC_027354,"Propionibacterium phage PHL301M00, complete genome",29323,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL301M00
NC_027355,"Bacillus phage BCP8-2, complete genome",159071,220,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Bastillevirinae; Caeruleovirus; Caeruleovirus BCP82
NC_027356,"Escherichia phage DT57C, complete genome",108065,133,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Demerecviridae; Markadamsvirinae; Tequintavirus; Tequintavirus DT57C
NC_027357,"Propionibacterium phage PHL025M00, complete genome",29496,43,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL025M00
NC_027358,"Leuconostoc phage Ln-9, complete genome",28527,48,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Mccleskeyvirinae; Unaquatrovirus; Unaquatrovirus Ln9
NC_027360,"Enterobacteriaphage UAB_Phi87, complete genome",87603,147,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ounavirinae; Felixounavirus; Felixounavirus UAB87
NC_027362,"Propionibacterium phage PHL116M00, complete genome",29394,46,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL116M00
NC_027363,"Proteus phage PM 75, complete genome",41480,25,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Slopekvirinae; Novosibovirus; Novosibovirus PM75
NC_027364,"Escherichia phage PBECO 4, complete genome",348113,551,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Asteriusvirus; Asteriusvirus PBECO4
NC_027365,"Mycobacterium phage Fionnbharth, complete genome",58076,94,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Weiservirinae; Fionnbharthvirus; Fionnbharthvirus fionnbharth
NC_027366,"Bacillus phage Mater, complete genome",164302,241,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Bastillevirinae; Matervirus; Matervirus mater
NC_027367,"Propionibacterium phage PHL132N00, complete genome",29003,42,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL132N00
NC_027368,"Vibrio phage PV94, complete genome",33828,48,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Peduoviridae; Vulnificusvirus; Vulnificusvirus PV94
NC_027369,"Escherichia phage EC6, complete genome",86231,136,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ounavirinae; Felixounavirus; Felixounavirus EC6
NC_027370,"Propionibacterium phage PHL179M00, complete genome",29428,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL179M00
NC_027371,"Propionibacterium phage Pacnes 2012-15, complete genome",29741,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus pacnes201215
NC_027372,"Bacillus phage Pascal, complete genome",39639,50,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pagevirus; Pagevirus pascal
NC_027374,"Bacillus phage Moonbeam, complete genome",161239,237,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Bastillevirinae; Moonbeamvirus; Moonbeamvirus moonbeam
NC_027375,"Pseudomonas phage vB_PaeP_PPA-ABTNL, complete genome",43227,54,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Krylovirinae; Phikmvvirus; Phikmvvirus ABTNL
NC_027376,"Propionibacterium phage PHL308M00, complete genome",29442,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL308M00
NC_027378,"Escherichia phage Seurat, complete genome",56776,88,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Queuovirinae; Seuratvirus; Seuratvirus seurat
NC_027379,"Proteus phage PM 85, complete genome",43642,23,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Molineuxvirinae; Acadevirus; Acadevirus PM85
NC_027380,"Propionibacterium phage PHL067M01, complete genome",29377,46,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL067M01
NC_027381,"Escherichia phage Pollock, complete genome",68365,85,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Schitoviridae; Humphriesvirinae; Pollockvirus; Pollockvirus pollock
NC_027382,"Enterobacteria phage SfMu, complete genome",37146,55,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Muvirus; Muvirus SfMu
NC_027383,"Escherichia phage YD-2008.s, complete genome",44613,62,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Dhillonvirus; Dhillonvirus YD2008s
NC_027385,"Propionibacterium phage PHL092M00, complete genome",29261,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL092M00
NC_027386,"Propionibacterium phage PHL152M00, complete genome",29247,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL152M00
NC_027387,"Escherichia phage CICC 80001, complete genome",38810,49,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Teseptimavirus; Teseptimavirus CICC80001
NC_027388,"Pseudomonas phage YH6, complete genome",73050,90,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Schitoviridae; Migulavirinae; Litunavirus; Litunavirus Yh6
NC_027389,"Propionibacterium phage PHL141N00, complete genome",29494,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL141N00
NC_027390,"Proteus phage PM 93, complete genome",45169,47,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Molineuxvirinae; Acadevirus; Acadevirus PM93
NC_027391,"Propionibacterium phage PHL041M10, complete genome",29412,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL041M10
NC_027392,"Propionibacterium phage PHL194M00, complete genome",29264,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL194M00
NC_027394,"Bacillus phage Pookie, complete genome",40214,52,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pagevirus; Pagevirus pookie
NC_027395,"Phage vB_EcoP_SU10, complete genome",77327,125,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Gordonclarkvirinae; Kuravirus; Kuravirus SU10
NC_027399,"Klebsiella phage K64-1 DNA, complete genome",346602,683,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Alcyoneusvirus; Alcyoneusvirus K641
NC_027401,"Propionibacterium phage PHL095N00, complete genome",29751,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL095N00
NC_027402,"Salmonella phage SPN3US, complete genome",240413,264,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Seoulvirus; Seoulvirus SPN3US
NC_027403,"Propionibacterium phage PHL117M00, complete genome",29255,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL117M00
NC_027404,"Yersinia phage PST, complete genome",167785,271,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Tevenvirinae; Tequatrovirus; Tequatrovirus pst
NC_027405,"Propionibacterium phage PHL163M00, complete genome",29264,46,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus PHL163M00
NC_027620,"Propionibacterium phage MrAK, complete genome",29726,46,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus mrAK
NC_027621,"Propionibacterium phage Wizzo, complete genome",29463,44,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus wizzo
NC_027622,"Propionibacterium phage Stormborn, complete genome",29330,46,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus stormborn
NC_027623,"Propionibacterium phage Pirate, complete genome",29324,44,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus pirate
NC_027624,"Propionibacterium phage SKKY, complete genome",29594,47,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus SKKY
NC_027625,"Propionibacterium phage Kubed, complete genome",29461,44,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus kubed
NC_027626,"Propionibacterium phage Procrass1, complete genome",29347,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus procrass1
NC_027627,"Propionibacterium phage Solid, complete genome",29440,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus solid
NC_027628,"Propionibacterium phage Lauchelly, complete genome",29517,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus lauchelly
NC_027629,"Propionibacterium phage Attacne, complete genome",28876,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus attacne
NC_027630,"Propionibacterium phage Ouroboros, complete genome",29506,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pahexavirus; Pahexavirus ouroboros
NC_027980,"Enterobacter phage phiKDA1, complete genome",43804,62,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Slopekvirinae; Koutsourovirus; Koutsourovirus KDA1
NC_027981,"Vibrio phage VP58.5, complete genome",42612,58,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vhmlvirus; Vhmlvirus VP585
NC_027983,"Enterobacteria phage AR1 DNA, complete genome",167435,281,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Tevenvirinae; Tequatrovirus; Tequatrovirus ar1
NC_027984,"Stx2 converting phage vB_EcoP_24B, complete genome",57677,88,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Sepvirinae; Traversvirus; Traversvirus tv24B
NC_027986,"Pseudomonas phage JBD18, complete genome",39014,52,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Beetrevirus; Beetrevirus JD18
NC_027987,"Leuconostoc phage 1-A4, complete genome",29508,50,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Mccleskeyvirinae; Unaquatrovirus; Unaquatrovirus uv1A4
NC_027988,"Citrobacter phage CVT22, complete genome",47636,83,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Zobellviridae; Citrovirus; Citrovirus coptotermitis
NC_027990,"Lactobacillus phage LBR48, complete genome",48211,86,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Anamdongvirus; Anamdongvirus LBR48
NC_027993,"Escherichia phage K1G, complete genome",43587,52,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Guernseyvirinae; Kagunavirus; Kagunavirus K1G
NC_027994,"Escherichia phage K1H, complete genome",41632,50,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Guernseyvirinae; Kagunavirus; Kagunavirus K1H
NC_027995,"Escherichia phage vB_EcoM_ECO1230-10, complete genome",41666,56,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Iiscvirinae; Jilinvirus; Jilinvirus CVM10
NC_027996,"Campylobacter phage CPt10, complete genome",175720,196,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Eucampyvirinae; Firehammervirus; Firehammervirus CPt10
NC_027997,"Campylobacter phage CP220, complete genome",177534,194,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Eucampyvirinae; Firehammervirus; Firehammervirus CP220
NC_028248,"Escherichia phage slur16, complete genome",136896,206,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vequintavirinae; Vequintavirus; Vequintavirus slur16
NC_028449,"Escherichia phage PA2, complete genome",63569,84,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Sepvirinae; Oslovirus; Oslovirus PA2
NC_028653,"Gordonia phage GTE8, complete genome",67617,94,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Zierdtviridae; Emilbogenvirinae; Foxborovirus; Foxborovirus GTE8
NC_028654,"Mycobacterium phage Sparkdehlily, complete genome",56275,111,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Gracegardnervirinae; Cheoctovirus; Cheoctovirus sparkdehlily
NC_028655,"Yersinia phage vB_YenP_AP10, complete genome",39235,47,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Apdecimavirus; Apdecimavirus AP10
NC_028659,"Klebsiella phage vB_KpnM_KB57, complete genome",142987,245,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vequintavirinae; Mydovirus; Mydovirus KB57
NC_028660,"Escherichia phage phi191, complete genome",61035,87,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Sepvirinae; Oslovirus; Oslovirus ov191
NC_028661,"Pseudomonas phage PPPL-1, complete genome",41149,49,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Ghunavirus; Ghunavirus PPPL1
NC_028662,"Mycobacterium phage Phlei, complete genome",50418,81,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Phleivirus; Phleivirus Phlei
NC_028663,"Cyanophage P-TIM40, complete genome",188632,235,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Kyanoviridae; Libanvirus; Libanvirus ptim40
NC_028664,"Klebsiella phage vB_Kp2, complete genome",43963,58,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Slopekvirinae; Drulisvirus; Drulisvirus Kp2
NC_028665,"Gordonia phage GTE6, complete genome",56982,86,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Dexdertvirus; Dexdertvirus GTE6
NC_028667,Pseudomonas phage vB_PaeS_PM105,39593,56,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Beetrevirus; Beetrevirus PM105
NC_028668,"Gordonia phage GMA3, complete genome",77779,104,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Gamtrevirus; Gamtrevirus GMA3
NC_028669,"Staphylococcus phage phiJB, complete genome",43012,70,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Azeredovirinae; Phietavirus; Phietavirus JB
NC_028670,"Klebsiella phage vB_KpnP_KpV41, complete genome",44203,55,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Slopekvirinae; Drulisvirus; Drulisvirus KpV41
NC_028672,"Cronobacter phage PBES 02, complete genome",149732,270,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vequintavirinae; Certrevirus; Certrevirus PBES02
NC_028673,"Gordonia phage GMA7, complete genome",73419,101,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Getseptimavirus; Getseptimavirus GMA7
NC_028675,"Acinetobacter phage phiAB1, complete genome",41526,46,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Beijerinckvirinae; Friunavirus; Friunavirus AB1
NC_028676,"Sinorhizobium phage phiM9, complete genome",149218,271,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pootjesviridae; Emnonavirus; Emnonavirus phiM9
NC_028679,"Acinetobacter phage vB_AbaP_PD-AB9, complete genome",40938,48,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Beijerinckvirinae; Friunavirus; Friunavirus PDAB9
NC_028683,"Edwardsiella phage PEi20 DNA, complete sequence",177643,301,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Tevenvirinae; Kanagawavirus; Kanagawavirus pei20
NC_028684,"Acinetobacter phage vB_AbaP_PD-6A3, complete genome",41563,48,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Beijerinckvirinae; Friunavirus; Friunavirus PD6A3
NC_028685,"Shigella phage Ss-VASD, complete genome",62851,74,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Sepvirinae; Oslovirus; Oslovirus VASD
NC_028686,"Klebsiella phage JD18, complete genome",166313,278,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Tevenvirinae; Jiaodavirus; Jiaodavirus jd18
NC_028688,"Klebsiella phage vB_Kp1, complete genome",40114,47,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Przondovirus; Przondovirus Kp1
NC_028691,"Mycobacterium phage Apizium, complete genome",68227,100,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bclasvirinae; Pegunavirus; Pegunavirus apizium
NC_028692,"Arthrobacter phage Decurro, complete genome",15524,26,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Decurrovirus; Decurrovirus decurro
NC_028693,"Enterococcus phage vB_EfaP_IME195, complete genome",18655,27,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Sarlesvirinae; Copernicusvirus; Copernicusvirus IME195
NC_028697,"Streptococcus phage A25, complete genome",33900,46,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Stonewallvirus; Stonewallvirus A25
NC_028698,"Salmonella phage f18SE, complete genome",41868,53,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Guernseyvirinae; Jerseyvirus; Jerseyvirus f18SE
NC_028699,"Salmonella phage SEN34, complete genome",40740,63,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Brunovirus; Brunovirus SEN34
NC_028702,"Delftia phage IME-DE1, complete genome",38084,48,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Piedvirus; Piedvirus IMEDE1
NC_028742,"Mycobacterium phage Baee, complete genome",70270,96,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bclasvirinae; Acadianvirus; Acadianvirus baee
NC_028745,"Pseudomonas phage DL60, complete genome",66103,89,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus DL60
NC_028746,"Paenibacillus phage Harrison, complete genome",44249,84,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Gochnauervirinae; Harrisonvirus; Harrisonvirus harrison
NC_028747,"Mycobacterium phage Brusacoram, complete genome",47618,78,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pclasvirinae; Fishburnevirus; Fishburnevirus brusacoram
NC_028748,"Bacillus phage vB_BtS_BMBtp3, complete genome",51366,76,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Waukeshavirus; Waukeshavirus BMBtp3
NC_028750,"Klebsiella phage Matisse, complete genome",176081,280,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Slopekvirus; Slopekvirus matisse
NC_028754,"Salmonella phage Shivani, complete genome",120098,171,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Demerecviridae; Markadamsvirinae; Tequintavirus; Tequintavirus shivani
NC_028755,"Citrobacter phage Margaery, complete genome",178182,280,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Pseudotevenvirus; Pseudotevenvirus margaery
NC_028758,"Paenibacillus phage HB10c2, complete genome",35644,56,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fernvirus; Fernvirus Hb10c2
NC_028759,"Mycobacterium phage Mufasa, complete genome",58065,94,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Weiservirinae; Timquatrovirus; Timquatrovirus mufasa
NC_028760,"Klebsiella phage KLPN1, complete genome",49037,72,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; Webervirus KLPN1
NC_028762,"Proteus phage vB_PmiM_Pm5461, complete genome",161989,256,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Bragavirus; Bragavirus pm5461
NC_028763,"Polaribacter phage P12002S, complete genome",49847,86,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Incheonvirus; Incheonvirus P12002S
NC_028764,"Clostridium phage phiCD505, complete genome",49316,76,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Colneyvirus; Colneyvirus CD505
NC_028765,"Staphylococcus phage phiIPLA-RODI, complete genome",142348,213,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Twortvirinae; Kayvirus; Kayvirus rodi
NC_028767,"Paenibacillus phage Vegas, complete genome",45653,86,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Gochnauervirinae; Vegasvirus; Vegasvirus vegas
NC_028768,"Achromobacter phage JWX, complete genome",49714,67,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Steinhofvirus; Steinhofvirus JWX
NC_028770,"Pseudomonas phage PaMx11, complete genome",59878,81,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Mesyanzhinovviridae; Bradleyvirinae; Abidjanvirus; Pseudomonas virus PaMx11
NC_028772,"Enterobacter phage phiEap-1, complete genome",39133,42,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Eapunavirus; Eapunavirus Eap1
NC_028774,"Klebsiella phage Sushi, complete genome",48754,76,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; Webervirus sushi
NC_028775,"Staphylococcus phage 23MRA, complete genome",43098,66,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bronfenbrennervirinae; Biseptimavirus; Biseptimavirus bv23MRA
NC_028776,"Enterobacteria phage CAjan, complete genome",59670,91,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Queuovirinae; Seuratvirus; Seuratvirus cajan
NC_028777,"Bacillus phage Stills, complete genome",80798,110,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Slashvirus; Slashvirus stills
NC_028780,"Escherichia phage slur07, complete genome",167124,266,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Tevenvirinae; Tequatrovirus; Tequatrovirus slur07
NC_028783,"Lactobacillus phage iLp84, complete genome",39399,60,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pleetrevirus; Pleetrevirus iLp84
NC_028786,"Klebsiella phage 1513, complete genome",49462,72,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Webervirus; Webervirus wv1513
NC_028788,"Bacteriophage Diva, complete genome",37246,60,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fernvirus; Fernvirus diva
